date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:57:52	1689/1689	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2294580e9334c06e91c50e47455b12b02b%22	https://www.247techies.com/robots.txt		(from )
23:57:52	34383/34383	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Dec%202024%2005:33:31%20GMT	https://www.247techies.com/	D:/JP%20Web%20Sites/247techtest/www.247techies.com/index.html	(from )
23:57:53	320343/320343	---M-Z	200	added ('OK')	text/css	etag:%22343b6299d3e182c308cdce40003c6ada%22	https://cdn.prod.website-files.com/62e0e20daa9a840d118ff0da/css/247techies-smb.webflow.54da652f3.min.css	D:/JP%20Web%20Sites/247techtest/cdn.prod.website-files.com/62e0e20daa9a840d118ff0da/css/247techies-smb.webflow.54da652f3.min.css	(from https://www.247techies.com/)
23:57:53	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	D:/JP%20Web%20Sites/247techtest/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.247techies.com/)
23:57:53	4314/4314	---M--	200	added ('OK')	image/png	etag:%22604b944d1b16c0311aa293ee13333e27%22	https://cdn.prod.website-files.com/62e0e20daa9a840d118ff0da/62e10497a8f7ff767b26543e_247techae.png	D:/JP%20Web%20Sites/247techtest/cdn.prod.website-files.com/62e0e20daa9a840d118ff0da/62e10497a8f7ff767b26543e_247techae.png	(from https://www.247techies.com/)
23:57:54	243/243	---MCZ	403	error ('Forbidden')	application/xml	date:Tue,%2017%20Dec%202024%2016:57:45%20GMT	https://cdn.prod.website-files.com/5f96a4b5d8c1f96239a9e9c8/5f96a4b5d8c1f995e5a9ea11_eureka.png	D:/JP%20Web%20Sites/247techtest/cdn.prod.website-files.com/5f96a4b5d8c1f96239a9e9c8/5f96a4b5d8c1f995e5a9ea11_eureka.png	(from https://www.247techies.com/)
23:57:54	870/870	---MC-	200	added ('OK')	text/javascript	date:Tue,%2017%20Dec%202024%2016:57:46%20GMT	https://www.google.com/recaptcha/api.js	D:/JP%20Web%20Sites/247techtest/www.google.com/recaptcha/api.js	(from https://www.247techies.com/)
23:57:54	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2017%20Dec%202024%2016:57:46%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/JP%20Web%20Sites/247techtest/www.googletagmanager.com/gtm.55445.delayed	(from https://www.247techies.com/)
23:57:55	4595/4595	---M--	200	added ('OK')	image/png	etag:%225ee2458ff63031f58259507586ff6a57%22	https://cdn.prod.website-files.com/62e0e20daa9a840d118ff0da/62e105300591a35afeea9616_247-logo-sm.png	D:/JP%20Web%20Sites/247techtest/cdn.prod.website-files.com/62e0e20daa9a840d118ff0da/62e105300591a35afeea9616_247-logo-sm.png	(from https://www.247techies.com/)
23:57:55	23021/23021	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Dec%202024%2015:01:17%20GMT	https://www.247techies.com/infrastructure/it-infrastructure-solutions	D:/JP%20Web%20Sites/247techtest/www.247techies.com/infrastructure/it-infrastructure-solutions.html	(from https://www.247techies.com/)
23:57:56	16607/16607	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Dec%202024%2015:01:18%20GMT	https://www.247techies.com/infrastructure/tech-support-onsite-remote	D:/JP%20Web%20Sites/247techtest/www.247techies.com/infrastructure/tech-support-onsite-remote.html	(from https://www.247techies.com/)
23:57:56	16071/16071	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Dec%202024%2007:10:31%20GMT	https://www.247techies.com/infrastructure/end-user-device-management	D:/JP%20Web%20Sites/247techtest/www.247techies.com/infrastructure/end-user-device-management.html	(from https://www.247techies.com/)
23:57:57	13933/13933	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Dec%202024%2015:01:17%20GMT	https://www.247techies.com/infrastructure/data-center-server-maintenance	D:/JP%20Web%20Sites/247techtest/www.247techies.com/infrastructure/data-center-server-maintenance.html	(from https://www.247techies.com/)
23:57:58	16562/16562	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Dec%202024%2005:49:57%20GMT	https://www.247techies.com/infrastructure/cloud-migrations-management	D:/JP%20Web%20Sites/247techtest/www.247techies.com/infrastructure/cloud-migrations-management.html	(from https://www.247techies.com/)
23:57:59	17134/17134	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Dec%202024%2015:01:19%20GMT	https://www.247techies.com/infrastructure/it-assessments	D:/JP%20Web%20Sites/247techtest/www.247techies.com/infrastructure/it-assessments.html	(from https://www.247techies.com/)
23:57:59	15333/15333	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Dec%202024%2015:01:20%20GMT	https://www.247techies.com/infrastructure/virtual-it-manager	D:/JP%20Web%20Sites/247techtest/www.247techies.com/infrastructure/virtual-it-manager.html	(from https://www.247techies.com/)
23:58:00	22237/22237	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Dec%202024%2015:01:20%20GMT	https://www.247techies.com/it-security/it-security-solutions	D:/JP%20Web%20Sites/247techtest/www.247techies.com/it-security/it-security-solutions.html	(from https://www.247techies.com/)
23:58:00	19987/19987	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Dec%202024%2013:07:58%20GMT	https://www.247techies.com/it-security/cyber-security-assessments	D:/JP%20Web%20Sites/247techtest/www.247techies.com/it-security/cyber-security-assessments.html	(from https://www.247techies.com/)
23:58:01	13715/13715	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Dec%202024%2016:31:20%20GMT	https://www.247techies.com/it-security/information-security-management	D:/JP%20Web%20Sites/247techtest/www.247techies.com/it-security/information-security-management.html	(from https://www.247techies.com/)
23:58:02	15053/15053	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Dec%202024%2007:28:30%20GMT	https://www.247techies.com/it-security/security-operations	D:/JP%20Web%20Sites/247techtest/www.247techies.com/it-security/security-operations.html	(from https://www.247techies.com/)
23:58:02	6363/6363	---M--	502	error ('Bad%20Gateway')	text/html	date:Tue,%2017%20Dec%202024%2016:57:54%20GMT	https://www.247techies.com/it-security/security-solutions	D:/JP%20Web%20Sites/247techtest/www.247techies.com/it-security/security-solutions	(from https://www.247techies.com/)
23:58:03	15190/15190	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Dec%202024%2011:07:58%20GMT	https://www.247techies.com/it-security/incident-response	D:/JP%20Web%20Sites/247techtest/www.247techies.com/it-security/incident-response.html	(from https://www.247techies.com/)
23:58:04	14209/14209	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Dec%202024%2007:28:14%20GMT	https://www.247techies.com/it-security/digital-forensic-investigation	D:/JP%20Web%20Sites/247techtest/www.247techies.com/it-security/digital-forensic-investigation.html	(from https://www.247techies.com/)
23:58:04	13846/13846	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Dec%202024%2012:07:58%20GMT	https://www.247techies.com/it-security/virtual-ciso	D:/JP%20Web%20Sites/247techtest/www.247techies.com/it-security/virtual-ciso.html	(from https://www.247techies.com/)
23:58:05	18891/18891	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Dec%202024%2009:23:17%20GMT	https://www.247techies.com/case-studies/case-studies	D:/JP%20Web%20Sites/247techtest/www.247techies.com/case-studies/case-studies.html	(from https://www.247techies.com/)
23:58:05	24143/24143	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Dec%202024%2014:18:45%20GMT	https://www.247techies.com/about-us	D:/JP%20Web%20Sites/247techtest/www.247techies.com/about-us.html	(from https://www.247techies.com/)
23:58:06	14474/14474	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Dec%202024%2007:10:39%20GMT	https://www.247techies.com/contact	D:/JP%20Web%20Sites/247techtest/www.247techies.com/contact.html	(from https://www.247techies.com/)
23:58:06	178/178	---M--	200	added ('OK')	image/png	etag:%22cdf6e2f4f30b47cd9e1f7068bec9de18%22	https://cdn.prod.website-files.com/62e0e20daa9a840d118ff0da/62e0e20daa9a84f4098ff10a_menu-icon.png	D:/JP%20Web%20Sites/247techtest/cdn.prod.website-files.com/62e0e20daa9a840d118ff0da/62e0e20daa9a84f4098ff10a_menu-icon.png	(from https://www.247techies.com/)
